ONLINE,,,,,,,,,,,,
Dataset,Strategy,Treino Inicial,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries/s,Query Rate,Number of Drifts
flags,NoQuery,0%,0%,0.4845360824742268,0.0,0.33078815514382526,1.0397508144378662,0.0234375,0,0.0,0.0,0
flags,FullSupervision,0%,100%,0.2938144329896906,0.07216494845360824,0.6771012778744737,10.555912971496582,0.01953125,194,18.3783250699248,1.0,0
flags,Random,0%,10%,0.349042709867452,0.05154639175257732,0.6043685838788931,2.1422181129455566,0,19,8.869311619195928,0.0979381443298969,0
flags,Uncertainty,0%,10%,0.3726067746686303,0.020618556701030927,0.5779596262843684,2.3789241313934326,0.00390625,19,7.986803677034848,0.0979381443298969,0
flags,QBC,0%,10%,0.4845360824742268,0.0,0.33078815514382526,4.053438663482666,0,0,0.0,0.0,0
flags,NoQuery,5%,0%,0.3451737451737451,0.016216216216216217,0.6323782223782223,2.545334577560425,0,0,0.0,0.0,0
flags,FullSupervision,5%,100%,0.28416988416988415,0.07567567567567568,0.687968487968488,8.77345585823059,0.0078125,185,21.086331656464314,1.0,0
flags,Random,5%,10%,0.30193050193050186,0.0918918918918919,0.6675119925119924,1.5570015907287598,0,18,11.56068183050156,0.0972972972972973,0
flags,Uncertainty,5%,10%,0.325096525096525,0.06486486486486487,0.6518562068562068,3.161102533340454,0,18,5.69421580292074,0.0972972972972973,0
flags,QBC,5%,10%,0.2957528957528957,0.10810810810810811,0.6833781833781833,5.684512615203857,0.12109375,18,3.166498382263593,0.0972972972972973,0
flags,NoQuery,10%,0%,0.31755102040816324,0.09142857142857143,0.6442342895200037,1.5594685077667236,0,0,0.0,0.0,0
flags,FullSupervision,10%,100%,0.283265306122449,0.08,0.6890315398886827,8.47620177268982,0,175,20.646039900070228,1.0,0
flags,Random,10%,10%,0.343673469387755,0.05142857142857143,0.619275962133105,2.333451986312866,0,17,7.285343816678242,0.09714285714285714,0
flags,Uncertainty,10%,10%,0.30612244897959173,0.11428571428571428,0.6629327973613687,1.6510016918182373,0,17,10.296779272998814,0.09714285714285714,0
