Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,NoQuery,,0.3161764705882352,0.08823529411764706,0.659499140565317,0.34868407249450684,0.2890625,0,0.0,0.0,[],0
flags,FullSupervision,,0.282563025210084,0.08088235294117647,0.690559746625923,4.362779378890991,4.36328125,136,31.17278876351774,1.0,[],0
flags,Random,0.3,0.3004201680672268,0.07794117647058824,0.6707550741741919,1.5883633613586425,0.02890625,38.6,24.415847514132576,0.2838235294117647,0.0,[]
flags,Uncertainty,0.3,0.28151260504201675,0.11764705882352941,0.6941412549868433,1.4856503009796143,0.1171875,38,25.57802463671525,0.27941176470588236,[],0
flags,QBC,0.3,0.2762605042016806,0.10294117647058823,0.6986503692386045,5.452153444290161,0,40,7.336550669147164,0.29411764705882354,[],0
flags,ClusterHardness,0.3,0.3077731092436974,0.125,0.6699518822680587,0.798337459564209,0.19921875,9,11.27342816271312,0.0661764705882353,[],0
emotions,NoQuery,,0.25841346153846156,0.13701923076923078,0.6323673722111223,1.731334924697876,0.00390625,0,0.0,0.0,[],0
emotions,FullSupervision,,0.21834935897435898,0.23076923076923078,0.6804037108724609,29.877230167388916,36.71484375,416,13.923646792869883,1.0,[],0
emotions,Random,0.3,0.2405448717948718,0.175,0.6475363351925851,10.84203143119812,2.075,120.6,11.134515984633515,0.2899038461538462,0.0,[]
emotions,Uncertainty,0.3,0.24759615384615385,0.15865384615384615,0.6370865245865246,12.042548179626465,0.08203125,124,10.296824073312218,0.2980769230769231,[],0
emotions,QBC,0.3,0.23637820512820515,0.20432692307692307,0.6542781003718503,44.02748942375183,17.71484375,124,2.8164222312686493,0.2980769230769231,[],0
emotions,ClusterHardness,0.3,0.250400641025641,0.14903846153846154,0.6367754641192142,6.519055604934692,0.19921875,44,6.74944388673316,0.10576923076923077,[],0
scene,NoQuery,,0.27270029673590507,0.12047477744807121,0.49571246590534435,18.256216764450073,0.05078125,0,0.0,0.0,"[287, 1343, 1375]",3
scene,FullSupervision,,0.05459940652818991,0.7548961424332344,0.887782873242814,226.66444492340088,157.0546875,1685,7.433896395040827,1.0,[],0
scene,Random,0.3,0.11875370919881305,0.5082492581602375,0.751870065641579,113.31374983787536,83.5625,502.2,4.433554989936666,0.2980415430267062,2.2,[]
scene,Uncertainty,0.3,0.11008902077151335,0.5804154302670623,0.7846343254503493,128.2271056175232,90.453125,505,3.938324877318201,0.2997032640949555,"[351, 1535, 1567]",3
scene,QBC,0.3,0.2078140454995054,0.29851632047477744,0.5949409525522285,302.46275901794434,782.15234375,505,1.6696270365306018,0.2997032640949555,"[767, 799, 863, 1119, 1247, 1279, 1375]",7
scene,ClusterHardness,0.3,0.11533135509396636,0.5026706231454006,0.7435338548691666,99.72127628326416,109.390625,384,3.85073290587683,0.22789317507418397,"[1279, 1311]",2
