Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
flags,PoolRandom,0.1,0.31302521008403356,0.09705882352941175,0.6621002567693743,0.6745527744293213,0.0,13.0,19.42469943363651,0.09558823529411764,0.0,[]
flags,PoolUncertainty,0.1,0.31827731092436967,0.08823529411764706,0.6570189818351583,0.7527809143066406,0,13,17.26930073934437,0.09558823529411764,[],0
flags,PoolQBC,0.1,0.3140756302521008,0.08823529411764706,0.661874257278669,2.128261089324951,0,13,6.108273117995773,0.09558823529411764,[],0
emotions,PoolRandom,0.1,0.2500801282051282,0.15096153846153845,0.638544008075258,5.273434162139893,0.0,41.0,7.819945515209794,0.0985576923076923,0.0,[]
emotions,PoolUncertainty,0.1,0.2423878205128205,0.15144230769230768,0.6459765928515928,6.162448406219482,0,41,6.653199718251684,0.0985576923076923,[],0
emotions,PoolQBC,0.1,0.2556089743589744,0.12980769230769232,0.6186755085192585,19.41087818145752,0,41,2.1122176759197715,0.0985576923076923,[],0
scene,PoolRandom,0.1,0.21123639960435212,0.1426706231454006,0.5246360639031262,60.67740411758423,26.9890625,168.0,2.771032715194454,0.09970326409495549,2.4,[]
scene,PoolUncertainty,0.1,0.18971315529179028,0.21008902077151334,0.5805173395677846,79.44692897796631,0,168,2.114619182405312,0.09970326409495549,"[1343, 1439]",2
scene,PoolQBC,0.1,0.21790306627101877,0.1406528189910979,0.5218940143272487,203.1858983039856,702.6171875,168,0.8268290339158079,0.09970326409495549,"[959, 1183]",2
birds,PoolRandom,0.1,0.07200745225896599,0.445575221238938,0.7475400493308378,29.774024963378906,33.75390625,45.0,1.51575731623464,0.09955752212389381,0.0,[]
birds,PoolUncertainty,0.1,0.06718677224033534,0.43805309734513276,0.7462983450572038,44.28548765182495,64.90234375,45,1.0161342323650715,0.09955752212389381,[],0
birds,PoolQBC,0.1,0.061481136469492305,0.4756637168141593,0.7685849887806264,134.788419008255,574.4609375,45,0.3338565755952966,0.09955752212389381,[],0
yeast,PoolRandom,0.1,0.20793650793650792,0.0986997635933806,0.7114866335965708,51.52001476287842,102.7546875,169.0,3.284343785523774,0.09988179669030733,0.0,[]
yeast,PoolUncertainty,0.1,0.20930428909152313,0.09397163120567376,0.7105466377999275,65.85007214546204,66.36328125,169,2.5664360644386384,0.09988179669030733,[],0
yeast,PoolQBC,0.1,0.20630699088145896,0.09397163120567376,0.7136076009971273,189.20937132835388,1091.39453125,169,0.8931904313910406,0.09988179669030733,[],0
water-quality,PoolRandom,0.1,0.36480554485945316,0.0061994609164420485,0.2817894162693122,3.8095337390899657,0.03671875,74.0,19.42759220597443,0.09973045822102426,0.0,[]
water-quality,PoolUncertainty,0.1,0.36089718906430496,0.01078167115902965,0.2872549293288785,4.444001197814941,0,74,16.65166067830604,0.09973045822102426,[],0
water-quality,PoolQBC,0.1,0.3566615325375433,0.008086253369272238,0.287178927833449,13.882567882537842,0,74,5.330425943249357,0.09973045822102426,[],0
SynHPGrad,PoolRandom,0.1,0.26376928571428576,0.011977142857142856,0.47001547975833685,292.29478964805605,428.70390625,3500.0,11.975313484604893,0.1,10.0,[]
SynHPGrad,PoolUncertainty,0.1,0.26327142857142855,0.010914285714285715,0.46927589553303833,338.2818169593811,443.8125,3500,10.34640298275405,0.1,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPGrad,PoolQBC,0.1,0.26302857142857144,0.010285714285714285,0.4655294343751486,1141.1124753952026,98.0390625,3500,3.0671823115314214,0.1,"[10175, 10207, 10239, 10271, 10303, 10335, 10399, 10495, 10623, 10975]",10
SynHPInc,PoolRandom,0.1,0.24047999999999997,0.0005142857142857143,0.43102514514057366,286.5929892063141,161.68359375,3500.0,12.214724589544359,0.1,0.0,[]
SynHPInc,PoolUncertainty,0.1,0.24047857142857143,0.0005142857142857143,0.43101862708719846,341.07279872894287,351.7890625,3500,10.261738881092999,0.1,[],0
SynHPInc,PoolQBC,0.1,0.24047857142857143,0.0005142857142857143,0.43101862708719846,1135.64404463768,6.49609375,3500,3.081951617257547,0.1,[],0
