dataset,strategy,stream_size,n_queries,mean_query_distance,mean_stream_to_query_distance
flags,NoQuery,136,0,,
flags,FullSupervision,136,136,5.761394296500017,0.0
flags,Random,136,40,5.920463355201005,2.663225550871996
flags,Uncertainty,136,38,5.634598711370499,3.0078670720513236
flags,QBC,136,40,5.376101020133427,3.057865652594595
flags,PoolRandom,136,40,6.0145609760278065,2.680279969903148
flags,PoolUncertainty,136,40,5.729001413943725,3.05983423785347
flags,PoolQBC,136,40,5.976038460056337,2.987597876176276
emotions,NoQuery,416,0,,
emotions,FullSupervision,416,416,11.588356619190982,0.0
emotions,Random,416,124,11.461587584223654,6.689898159458762
emotions,Uncertainty,416,124,12.013105581929441,6.7471393277841765
emotions,QBC,416,124,12.023209678320319,6.823292248649113
emotions,PoolRandom,416,116,10.915655246814207,6.800079939416734
emotions,PoolUncertainty,416,116,12.606484832956784,6.675473392389258
emotions,PoolQBC,416,116,12.169573113244773,6.76341697369699
scene,NoQuery,1685,0,,
scene,FullSupervision,1685,1685,23.318719465665865,0.0
scene,Random,1685,504,23.316587129782153,14.29891195933232
scene,Uncertainty,1685,505,25.60823592785139,14.013503620221561
scene,QBC,1685,505,20.86587375329322,15.348567516033507
scene,PoolRandom,1685,505,23.59797848543395,14.316090638341953
scene,PoolUncertainty,1685,505,26.106930993018118,13.69073864257338
scene,PoolQBC,1685,505,23.925802708608117,14.20689042271076
birds,NoQuery,452,0,,
birds,FullSupervision,452,452,20.329123665390522,0.0
birds,Random,452,135,20.182389442962744,9.757086051837462
birds,Uncertainty,452,135,28.00824626652678,7.760904147153688
birds,QBC,452,135,20.87295487099607,9.248116045287095
birds,PoolRandom,452,135,18.56970724413319,9.80371296705085
birds,PoolUncertainty,452,135,26.89618580153212,7.981606518274195
birds,PoolQBC,452,135,25.321181033458217,8.441631417896305
yeast,NoQuery,1692,0,,
yeast,FullSupervision,1692,1692,14.29032786043344,0.0
yeast,Random,1692,506,14.29515959226252,9.475732213643768
yeast,Uncertainty,1692,507,14.317400734818365,9.490027655638826
yeast,QBC,1692,507,14.303792384673443,9.522449271757159
yeast,PoolRandom,1692,507,14.278324363426668,9.55642038454941
yeast,PoolUncertainty,1692,507,14.319567321393434,9.501716274711505
yeast,PoolQBC,1692,507,14.301064278678837,9.477268130563022
