Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
birds,PoolRandom,0.3,0.0632044713553795,0.4619469026548673,0.7541957331072509,64.68191013336181,129.08359375,135.0,2.090923765030388,0.2986725663716814,0.0,[]
birds,PoolUncertainty,0.3,0.0578714485328365,0.4778761061946903,0.7651059957675314,85.41424989700317,152.85546875,135.0,1.5805325242894463,0.2986725663716814,[],0
birds,PoolQBC,0.3,0.0595016301816488,0.4601769911504424,0.7526245355881004,265.93367433547974,1116.8671875,135.0,0.5076453756273651,0.2986725663716814,[],0
emotions,PoolRandom,0.3,0.2385416666666666,0.1778846153846153,0.6530315517815517,10.28700785636902,0.07890625,116.0,11.28004989794582,0.2788461538461538,0.0,[]
emotions,PoolUncertainty,0.3,0.2467948717948717,0.1634615384615384,0.6384122821622822,11.2613046169281,0.078125,116.0,10.300760342245578,0.2788461538461538,[],0
emotions,PoolQBC,0.3,0.2319711538461538,0.2115384615384615,0.6632401452713952,38.99565672874451,0.0078125,116.0,2.9746902535044115,0.2788461538461538,[],0
flags,PoolRandom,0.3,0.3142857142857143,0.1029411764705882,0.66173525412496,1.3073644161224365,0.0,40.0,30.736511467554784,0.2941176470588235,0.0,[]
flags,PoolUncertainty,0.3,0.324579831932773,0.0808823529411764,0.6518981835158305,1.426553726196289,0.24609375,40.0,28.039602901360432,0.2941176470588235,[],0
flags,PoolQBC,0.3,0.3088235294117646,0.1029411764705882,0.6676154931669638,5.098341464996338,0.390625,40.0,7.845688695947071,0.2941176470588235,[],0
scene,PoolRandom,0.3,0.1832443125618199,0.2929376854599407,0.6237746434244951,112.78659086227417,0.0734375,505.0,4.479834581144692,0.2997032640949555,1.2,[]
scene,PoolUncertainty,0.3,0.1865479723046489,0.2688427299703264,0.6077293708599346,144.29705023765564,0.0,505.0,3.499725040590023,0.2997032640949555,"[1567, 1599]",2
scene,PoolQBC,0.3,0.1666666666666666,0.34540059347181,0.6532026496418188,436.1119472980499,1450.05078125,505.0,1.1579595632010289,0.2997032640949555,"[959, 991, 1599]",3
yeast,PoolRandom,0.3,0.2085697399527186,0.0965721040189125,0.707643609154125,115.70817351341248,141.053125,507.0,4.38501217524931,0.299645390070922,0.0,[]
yeast,PoolUncertainty,0.3,0.2074045930428909,0.101063829787234,0.7098988359044991,133.74353790283203,106.015625,507.0,3.790837358948497,0.299645390070922,[],0
yeast,PoolQBC,0.3,0.2058426207362377,0.109338061465721,0.712369949056424,438.07681012153625,2852.97265625,507.0,1.157331290508946,0.299645390070922,[],0
