Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Number of Drifts,Drift Points
flags,PoolRandom,0.3,0.3142857142857143,0.10294117647058823,0.66173525412496,1.2852494239807128,0.0015625,40.0,31.69487250848432,0.29411764705882354,0.0,[]
flags,PoolUncertainty,0.3,0.32457983193277307,0.08088235294117647,0.6518981835158305,1.2975831031799316,0,40,30.826541977907777,0.29411764705882354,[],0
flags,PoolQBC,0.3,0.30882352941176466,0.10294117647058823,0.6676154931669638,4.736030340194702,0,40,8.445891839104132,0.29411764705882354,[],0
flags,PoolClusterHardness_global_K5,0.3,0.3161764705882352,0.08088235294117647,0.6607731729055258,1.664957046508789,0,40,24.024643809205227,0.29411764705882354,[],0
flags,PoolClusterHardnessUncertainty_global_K5,0.3,0.31827731092436967,0.08088235294117647,0.6586898395721925,1.536501169204712,0,40,26.033172510180304,0.29411764705882354,[],0
flags,PoolClusterHardness_per_label_K5,0.3,0.3109243697478991,0.125,0.6639854426619133,1.3930423259735107,0,40,28.71413111733449,0.29411764705882354,[],0
flags,PoolClusterHardnessUncertainty_per_label_K5,0.3,0.3130252100840336,0.11029411764705882,0.6643602516764282,1.668168544769287,0,40,23.978392426487172,0.29411764705882354,[],0
emotions,PoolRandom,0.3,0.23854166666666665,0.17788461538461536,0.6530315517815517,9.813111400604248,0.00078125,116.0,11.83187546636525,0.27884615384615385,0.0,[]
emotions,PoolUncertainty,0.3,0.24679487179487178,0.16346153846153846,0.6384122821622822,10.989996194839478,0,116,10.555053700061297,0.27884615384615385,[],0
emotions,PoolQBC,0.3,0.23197115384615385,0.21153846153846154,0.6632401452713952,37.473613023757935,0,116,3.095511498356378,0.27884615384615385,[],0
emotions,PoolClusterHardness_global_K7,0.3,0.24158653846153846,0.17067307692307693,0.6497159958097458,9.70385217666626,0,116,11.954015569088314,0.27884615384615385,[],0
emotions,PoolClusterHardnessUncertainty_global_K7,0.3,0.24519230769230768,0.15144230769230768,0.625627324064824,10.907146215438843,0,116,10.635229207416728,0.27884615384615385,[],0
emotions,PoolClusterHardness_per_label_K7,0.3,0.24519230769230768,0.15865384615384615,0.6399805056055056,10.284842491149902,0,116,11.278733738491173,0.27884615384615385,[],0
emotions,PoolClusterHardnessUncertainty_per_label_K7,0.3,0.24479166666666666,0.17067307692307693,0.6325741966366967,11.70450735092163,0,116,9.910711875529385,0.27884615384615385,[],0
scene,PoolRandom,0.3,0.18324431256181994,0.2929376854599407,0.6237746434244951,118.20532350540161,67.81328125,505.0,4.291152011209694,0.2997032640949555,1.2,[]
scene,PoolUncertainty,0.3,0.1865479723046489,0.26884272997032643,0.6077293708599346,149.51489901542664,199.0859375,505,3.377589814296,0.2997032640949555,"[1567, 1599]",2
scene,PoolQBC,0.3,0.16666666666666666,0.34540059347181007,0.6532026496418188,430.276469707489,1541.14453125,505,1.1736639940903801,0.2997032640949555,"[959, 991, 1599]",3
scene,PoolClusterHardness_global_K6,0.3,0.18150346191889216,0.286053412462908,0.6062597787968708,118.85357761383057,0,505,4.248925527852474,0.2997032640949555,"[991, 1183]",2
scene,PoolClusterHardnessUncertainty_global_K6,0.3,0.18862512363996042,0.28664688427299706,0.6142788418307706,128.55259919166565,0.00390625,505,3.9283530879610584,0.2997032640949555,[1183],1
