Dataset,Strategy,Budget,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,NoQuery,,0.3161764705882352,0.08823529411764706,0.659499140565317,0.35397934913635254,0.65625,0,0.0,0.0,[],0
flags,FullSupervision,,0.282563025210084,0.08088235294117647,0.690559746625923,4.5044944286346436,10.28125,136,30.192067534918216,1.0,[],0
flags,ClusterHardness_0.05_global_K5_30%,0.3,0.29831932773109243,0.11764705882352941,0.6727381482896188,1.1332454681396484,0.12890625,13,11.471477597294946,0.09558823529411764,[],0
flags,ClusterHardness_0.1_global_K5_30%,0.3,0.29831932773109243,0.11764705882352941,0.6727381482896188,0.9007124900817871,0,13,14.433018463882481,0.09558823529411764,[],0
flags,ClusterHardness_0.3_global_K5_30%,0.3,0.29831932773109243,0.11764705882352941,0.6727381482896188,1.0123624801635742,0,13,12.841250297916515,0.09558823529411764,[],0
flags,ClusterHardness_0.5_global_K5_30%,0.3,0.29831932773109243,0.11764705882352941,0.6727381482896188,1.0371472835540771,0.00390625,13,12.53438176635033,0.09558823529411764,[],0
flags,ClusterHardness_0.7_global_K5_30%,0.3,0.296218487394958,0.11764705882352941,0.6751803751803751,0.656144380569458,0.0078125,7,10.66838367788017,0.051470588235294115,[],0
flags,ClusterHardness_0.9_global_K5_30%,0.3,0.3014705882352941,0.09558823529411764,0.6733007596978186,0.7255663871765137,0.00390625,10,13.782336360583404,0.07352941176470588,[],0
flags,ClusterHardness_0.05_per_label_K5_30%,0.3,0.3172268907563025,0.08088235294117647,0.6584924879042525,1.1570403575897217,0,3,2.5928222644276846,0.022058823529411766,[],0
flags,ClusterHardness_0.1_per_label_K5_30%,0.3,0.3172268907563025,0.08088235294117647,0.6584924879042525,0.9910104274749756,0,3,3.0272133539944557,0.022058823529411766,[],0
flags,ClusterHardness_0.3_per_label_K5_30%,0.3,0.3172268907563025,0.08088235294117647,0.6584924879042525,1.0067617893218994,0.01953125,3,2.979850876164697,0.022058823529411766,[],0
flags,ClusterHardness_0.5_per_label_K5_30%,0.3,0.3172268907563025,0.08088235294117647,0.6584924879042525,1.0488641262054443,0.15625,3,2.860237017404083,0.022058823529411766,[],0
