Dataset,Strategy,Budget,Train Fraction,Initial Train Size,Stream Size,Test Size,Hamming Loss,Exact Match,F1-score,Execution Time (s),Memory Usage (MB),Queried Instances,Queries per Second,Query Rate,Drift Points,Number of Drifts
flags,NoQuery,,0.05,6,123,65,0.3449477351916377,0.06504065040650407,0.6328441206489988,0.3206453323364258,22.3203125,0,0.0,0.0,[],0
flags,FullSupervision,,0.05,6,123,65,0.30197444831591175,0.12195121951219512,0.6627379170062095,3.950194835662842,9.265625,123,31.137704623969675,1.0,[],0
flags,Random,0.1,0.34192799070847846,0.12682926829268296,0.6309304922719556,0.8643512725830078,0.05078125,11.0,12.803972506269343,0.08943089430894309,0.0,[]
flags,Uncertainty,0.1,0.05,6,123,65,0.31242740998838553,0.056910569105691054,0.6418640528396626,1.0302834510803223,0.06640625,12,11.647280161024797,0.0975609756097561,[],0
flags,QBC,0.1,0.05,6,123,65,0.31010452961672463,0.08130081300813008,0.6678888184985745,1.726752519607544,8.00390625,12,6.9494614102125984,0.0975609756097561,[],0
flags,NoQuery,,0.1,12,117,65,0.3357753357753357,0.05128205128205128,0.6404641654641655,0.2899906635284424,0,0,0.0,0.0,[],0
flags,FullSupervision,,0.1,12,117,65,0.297924297924298,0.1282051282051282,0.6665623550238935,3.6319427490234375,0.05859375,117,32.214164177411426,1.0,[],0
flags,Random,0.1,0.3128205128205129,0.0923076923076923,0.6590665412460285,0.5047117710113526,0.003125,10.4,21.496729752981217,0.08888888888888889,0.0,[]
flags,Uncertainty,0.1,0.1,12,117,65,0.31746031746031744,0.09401709401709402,0.6596190846190848,0.5032198429107666,0,11,21.859233404574972,0.09401709401709402,[],0
flags,QBC,0.1,0.1,12,117,65,0.3186813186813186,0.07692307692307693,0.6584218250884918,1.563263177871704,0,11,7.03656310447732,0.09401709401709402,[],0
flags,NoQuery,,0.2,25,104,65,0.2747252747252747,0.09615384615384616,0.6874479686979688,0.2640256881713867,0,0,0.0,0.0,[],0
flags,FullSupervision,,0.2,25,104,65,0.28159340659340654,0.14423076923076922,0.6815065810258117,3.241981267929077,0.01953125,104,32.07914895400782,1.0,[],0
flags,Random,0.1,0.273076923076923,0.10769230769230768,0.6902971921241152,0.4516134738922119,0.015625,9.0,20.878917041073496,0.08653846153846154,0.0,[]
flags,Uncertainty,0.1,0.2,25,104,65,0.26785714285714285,0.14423076923076922,0.695658855033855,0.6709597110748291,0,10,14.904024541176579,0.09615384615384616,[],0
flags,QBC,0.1,0.2,25,104,65,0.27609890109890106,0.15384615384615385,0.690847347097347,1.2723448276519775,0.01171875,10,7.859504579787771,0.09615384615384616,[],0
flags,NoQuery,,0.3,38,91,65,0.2543171114599685,0.2087912087912088,0.7185417756846327,0.21643853187561035,0,0,0.0,0.0,[],0
flags,FullSupervision,,0.3,38,91,65,0.27472527472527464,0.15384615384615385,0.6860162426096491,2.759735345840454,0.01171875,91,32.974176359757685,1.0,[],0
flags,Random,0.1,0.2605965463108319,0.189010989010989,0.7090751190201738,0.469864559173584,0.0,8.4,18.099383793742913,0.09230769230769231,0.0,[]
flags,Uncertainty,0.1,0.3,38,91,65,0.27786499215070637,0.2087912087912088,0.6948178805321662,0.44814085960388184,0,9,20.08297125139455,0.0989010989010989,[],0
flags,QBC,0.1,0.3,38,91,65,0.27786499215070637,0.14285714285714285,0.6951802166087879,1.3675949573516846,0.10546875,9,6.580895865123902,0.0989010989010989,[],0
flags,NoQuery,,0.5,64,65,65,0.2857142857142857,0.1076923076923077,0.6813442113442113,0.15570783615112305,0.00390625,0,0.0,0.0,[],0
flags,FullSupervision,,0.5,64,65,65,0.29230769230769227,0.09230769230769231,0.6589425531733223,1.975890874862671,0.0078125,65,32.896553563221275,1.0,[],0
flags,Random,0.1,0.28967032967032963,0.10153846153846154,0.6755763125763126,0.27563905715942383,0.0015625,5.2,20.351356134861867,0.08,0.0,[]
flags,Uncertainty,0.1,0.5,64,65,65,0.29450549450549446,0.12307692307692308,0.6720829170829171,0.28443241119384766,0,6,21.09464239611868,0.09230769230769231,[],0
flags,QBC,0.1,0.5,64,65,65,0.2857142857142857,0.12307692307692308,0.6814357864357864,0.9037656784057617,8.03515625,6,6.638888976824138,0.09230769230769231,[],0
flags,NoQuery,,0.8,103,26,65,0.29120879120879123,0.19230769230769232,0.6441387672156904,0.06414628028869629,0,0,0.0,0.0,[],0
flags,FullSupervision,,0.8,103,26,65,0.31868131868131866,0.11538461538461539,0.6140951996721227,0.9397962093353271,0,26,27.66557232486451,1.0,[],0
flags,Random,0.1,0.29450549450549446,0.14615384615384616,0.6452902439440902,0.12646136283874512,0.0,2.0,16.349183070284205,0.07692307692307693,0.0,[]
flags,Uncertainty,0.1,0.8,103,26,65,0.3021978021978022,0.15384615384615385,0.6456571206571206,0.18477582931518555,0,2,10.82392652443981,0.07692307692307693,[],0
flags,QBC,0.1,0.8,103,26,65,0.2802197802197802,0.19230769230769232,0.6535335391104622,0.7104673385620117,0,2,2.8150484778765574,0.07692307692307693,[],0
emotions,NoQuery,,0.05,19,372,202,0.26568100358422936,0.13172043010752688,0.6136282176604757,1.7641243934631348,0,0,0.0,0.0,[],0
emotions,FullSupervision,,0.05,19,372,202,0.22849462365591397,0.21236559139784947,0.6652254107899268,28.434292554855347,86.75390625,372,13.08279428026348,1.0,[],0
emotions,Random,0.1,0.2563620071684588,0.15591397849462366,0.635584881068752,3.8988811016082763,5.090625,36.8,9.547489786096804,0.0989247311827957,0.0,[]
emotions,Uncertainty,0.1,0.05,19,372,202,0.2840501792114695,0.13978494623655913,0.6275195309469502,4.88512921333313,0.03125,37,7.574006415022716,0.09946236559139784,[],0
emotions,QBC,0.1,0.05,19,372,202,0.27777777777777773,0.1424731182795699,0.6216245597293985,15.500046491622925,8.5859375,37,2.387089614214824,0.09946236559139784,[],0
emotions,NoQuery,,0.1,39,352,202,0.2684659090909091,0.14204545454545456,0.630405106257379,1.2957139015197754,0,0,0.0,0.0,[],0
emotions,FullSupervision,,0.1,39,352,202,0.2263257575757576,0.2159090909090909,0.6665098632428177,28.698365449905396,117.52734375,352,12.265506919355241,1.0,[],0
emotions,Random,0.1,0.25350378787878786,0.1653409090909091,0.6534256321330185,3.355563735961914,0.01875,34.8,10.406355948700305,0.09886363636363635,0.0,[]
emotions,Uncertainty,0.1,0.1,39,352,202,0.2608901515151515,0.13352272727272727,0.6384208357929949,3.756579637527466,0,35,9.316986029088037,0.09943181818181818,[],0
emotions,QBC,0.1,0.1,39,352,202,0.277935606060606,0.14488636363636365,0.6309629369998688,14.32736325263977,0.0625,35,2.442877965947528,0.09943181818181818,[],0
emotions,NoQuery,,0.2,78,313,202,0.25931842385516507,0.14057507987220447,0.6279960720855289,1.0410370826721191,0,0,0.0,0.0,[],0
emotions,FullSupervision,,0.2,78,313,202,0.21725239616613418,0.23003194888178913,0.6727522832155419,24.108437061309814,0.2734375,313,12.983006704416976,1.0,[],0
emotions,Random,0.1,0.24813631522896698,0.16869009584664538,0.6444246435141003,3.295265865325928,0.01875,30.4,9.227272178049777,0.09712460063897763,0.0,[]
emotions,Uncertainty,0.1,0.2,78,313,202,0.23855165069222575,0.20447284345047922,0.665073026015518,3.880495548248291,0.05859375,31,7.9886704196823075,0.09904153354632587,[],0
emotions,QBC,0.1,0.2,78,313,202,0.2364217252396166,0.1597444089456869,0.6620401873596761,13.582092761993408,0.1015625,31,2.282417043030872,0.09904153354632587,[],0
emotions,NoQuery,,0.3,117,274,202,0.2518248175182482,0.19343065693430658,0.6668391422041057,0.898963212966919,0,0,0.0,0.0,[],0
emotions,FullSupervision,,0.3,117,274,202,0.22201946472019463,0.22262773722627738,0.666632171559179,21.669928789138794,18.09765625,274,12.644250134192033,1.0,[],0
emotions,Random,0.1,0.24355231143552314,0.19635036496350367,0.6650439220147248,2.622875213623047,0.0,26.8,10.262092937148193,0.09781021897810219,0.0,[]
emotions,Uncertainty,0.1,0.3,117,274,202,0.2311435523114355,0.19343065693430658,0.6729416163722732,3.2739453315734863,0,27,8.246930619034975,0.09854014598540146,[],0
emotions,QBC,0.1,0.3,117,274,202,0.23905109489051096,0.1897810218978102,0.653510732981536,10.490720748901367,0.0234375,27,2.5737030511299763,0.09854014598540146,[],0
emotions,NoQuery,,0.5,195,196,202,0.25255102040816324,0.1377551020408163,0.6206023426686692,0.7477750778198242,0,0,0.0,0.0,[],0
emotions,FullSupervision,,0.5,195,196,202,0.22789115646258498,0.20918367346938777,0.6584391657095737,15.16054081916809,36.21484375,196,12.928298689199082,1.0,[],0
emotions,Random,0.1,0.24863945578231292,0.14795918367346936,0.6342265585888034,2.4162564277648926,1.61171875,18.8,7.791093979351951,0.09591836734693877,0.0,[]
emotions,Uncertainty,0.1,0.5,195,196,202,0.2397959183673469,0.1683673469387755,0.6387315207468268,2.927593231201172,0.03125,19,6.489972649719657,0.09693877551020408,[],0
emotions,QBC,0.1,0.5,195,196,202,0.24744897959183673,0.15816326530612246,0.6402768574962453,9.867702960968018,35.1328125,19,1.9254734435313918,0.09693877551020408,[],0
emotions,NoQuery,,0.8,312,79,202,0.20464135021097044,0.25316455696202533,0.7084552578223463,0.32781481742858887,0,0,0.0,0.0,[],0
emotions,FullSupervision,,0.8,312,79,202,0.21940928270042193,0.26582278481012656,0.6796801651232031,6.1167566776275635,0.42578125,79,12.915341277011665,1.0,[],0
emotions,Random,0.1,0.21181434599156113,0.2481012658227848,0.6920539024969404,0.8231890201568604,0.0,6.8,8.380621582128864,0.08607594936708861,0.0,[]
emotions,Uncertainty,0.1,0.8,312,79,202,0.22362869198312238,0.17721518987341772,0.6727103768243008,0.8992266654968262,0,7,7.784466662954744,0.08860759493670886,[],0
emotions,QBC,0.1,0.8,312,79,202,0.1962025316455696,0.26582278481012656,0.718018795550441,3.4236321449279785,12.02734375,7,2.0446121848605485,0.08860759493670886,[],0
birds,NoQuery,,0.05,16,306,323,0.05658754729962161,0.43790849673202614,0.7078619918188835,7.542979955673218,0.1640625,0,0.0,0.0,[],0
birds,FullSupervision,,0.05,16,306,323,0.06363949088407292,0.42483660130718953,0.7266978743510001,154.52416491508484,632.15625,306,1.980272795314281,1.0,[],0
birds,Random,0.1,0.060612315101479186,0.40326797385620916,0.7045951853295725,15.326885223388672,3.2296875,29.4,1.920541473988952,0.09607843137254901,0.0,[]
birds,Uncertainty,0.1,0.05,16,306,323,0.06277949776401788,0.42483660130718953,0.706591564825952,25.01022720336914,0,30,1.1995092949798827,0.09803921568627451,[],0
birds,QBC,0.1,0.05,16,306,323,0.0608875128998968,0.4215686274509804,0.7035820074350928,61.34064507484436,50.2890625,30,0.48907213094019,0.09803921568627451,[],0
birds,NoQuery,,0.1,32,290,323,0.06098003629764065,0.43103448275862066,0.7068223983018608,8.823514461517334,0,0,0.0,0.0,[],0
birds,FullSupervision,,0.1,32,290,323,0.06424682395644282,0.43103448275862066,0.7302020296222244,148.23329043388367,0,290,1.9563756505111676,1.0,[],0
birds,Random,0.1,0.06134301270417423,0.4241379310344827,0.7159291672378681,16.463309144973756,63.40390625,28.2,1.7144725225578767,0.09724137931034484,0.0,[]
birds,Uncertainty,0.1,0.1,32,290,323,0.0602540834845735,0.44482758620689655,0.7235587092872149,26.25588870048523,0,29,1.1045141275093864,0.1,[],0
